instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
25.332,39.431,space,13.985,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,,,,,,,,,,,,,,,,,,
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,39.471,39.922,39.925,44.823,[0.4],15,[-0.35],[1],[0],[0],[4.8969999999999985],0,0,0,147,1,r2b1s8.png,316
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,44.825,45.321,45.323,48.506,[0.7018519083658854],20,[-0.35],[1],[0],[0],[3.181999999999995],0,1,1,216,1,r1b2s7.png,1081
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,48.507,49.004,49.006,52.538,[0.5379630194769965],17,[-0.35555555555555557],[1],[0],[0],[3.5319999999999965],0,2,2,17,1,r1b2s8.png,50
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,52.539,53.038,53.038,55.838,[0.5657407972547743],18,[-0.35370373196072047],[1],[0],[0],[2.799999999999997],0,3,3,118,1,r2b2s9.png,171
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,55.839,56.337,56.339,61.222,[0.6240741305881077],18,[-0.36759262084960936],[1],[0],[0],[4.882000000000005],0,4,4,89,1,r1b1s10.png,171
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,61.224,61.721,61.724,65.138,[0.3972222222222222],15,[-0.3638888888888889],[1],[0],[0],[3.4140000000000015],0,5,5,124,1,r1b1s5.png,316
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,65.139,65.637,65.638,69.438,[0.6722222222222223],19,[-0.35370373196072047],[1],[0],[0],[3.7989999999999924],0,6,6,272,1,r2b2s3.png,2000
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,69.439,69.937,69.939,73.422,[0.26574071248372394],14,[-0.3574073791503906],[1],[0],[0],[3.483000000000004],0,7,7,116,1,r2b2s7.png,171
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,73.423,73.92,73.921,76.62,[-0.4638888888888889],4,[-0.34444444444444444],[1],[0],[0],[2.6990000000000123],0,8,8,211,1,r1b2s2.png,1081
,,,,,370936,001,F,,2026-05-11_10h46.08.083,RUN_BETA,2026.1.0,Win32,59.95203837,76.621,77.12,77.12,79.754,[-0.1787036895751953],8,[-0.35462960137261285],[1],[0],[0],[2.6329999999999956],0,9,9,75,1,r2b2s6.png,92
