instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
11.811,22.638,space,10.748,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,22.663,23.137,23.138,32.858,[-0.0411599625818522],9,[-0.3306828811973807],[1],[0],[0],[9.719000000000001],0,0,0,9,1,r1b1s10.png,50
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,32.859,33.352,33.353,37.569,[-0.46024321796071094],4,[-0.34471468662301213],[1],[0],[0],[4.214999999999996],0,1,1,81,1,r1b1s2.png,171
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,37.57,38.069,38.069,39.969,[-0.11786716557530402],8,[-0.34658559401309635],[1],[0],[0],[1.8999999999999986],0,2,2,24,1,r2b1s5.png,50
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,39.97,40.468,40.469,44.104,[-0.3985032740879326],5,[-0.35032740879326474],[1],[0],[0],[3.6340000000000003],0,3,3,108,1,r2b1s9.png,171
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,44.104,44.602,44.603,46.753,[-0.021515434985968196],10,[-0.34284377923292797],[1],[0],[0],[2.149000000000001],0,4,4,78,1,r2b2s9.png,92
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,46.753,47.252,47.253,52.187,[-0.5425631431244153],3,[-0.3372310570626754],[1],[0],[0],[4.934000000000005],0,5,5,261,1,r2b1s2.png,2000
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,52.187,52.685,52.686,54.602,[0.11973807296538821],12,[-0.3540692235734331],[1],[0],[0],[1.916000000000011],0,6,6,42,1,r1b1s3.png,92
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,54.602,55.103,55.104,59.837,[0.11318989710009354],12,[-0.34565014031805424],[1],[0],[0],[4.731999999999999],0,7,7,247,1,r1b1s8.png,2000
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,59.837,60.335,60.336,62.77,[-0.09260991580916744],9,[-0.35968194574368567],[1],[0],[0],[2.433000000000007],0,8,8,49,1,r1b1s10.png,92
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,62.77,63.268,63.269,66.452,[-0.18521983161833488],7,[-0.3437792329279701],[1],[0],[0],[3.1829999999999927],0,9,9,60,1,r2b1s1.png,92
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,66.452,66.951,66.952,69.219,[0.3985032740879326],15,[-0.35032740879326474],[1],[0],[0],[2.266999999999996],0,10,10,69,1,r2b1s10.png,92
,,,,,804143,001,F,20,2026-05-11_10h43.41.626,RUN_BETA,2026.1.0,MacIntel,58.82352941,69.22,69.719,69.719,72.435,[0.4667913938260056],16,[-0.3372310570626754],[1],[0],[0],[2.716000000000008],0,11,11,104,1,r2b1s5.png,171
