instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
3.9629,20.7147,space,16.6875,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,20.7421,21.2138,21.2151,26.2977,[-0.2688603940217391],6,[-0.3568826426630435],[1],[0],[0],[5.082199999988077],0,0,0,271,1,r2b2s2.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,26.2983,26.7978,26.7987,32.014,[-0.11910665760869565],8,[-0.34305366847826085],[1],[0],[0],[5.21520000001788],0,1,1,82,1,r1b1s3.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,32.0145,32.5139,32.516,34.2809,[-0.46651664402173915],4,[-0.3524244225543478],[1],[0],[0],[1.7646999999880748],0,2,2,5,1,r1b1s6.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,34.2813,34.7806,34.7816,38.8805,[-0.019437839673913042],10,[-0.35319718070652173],[1],[0],[0],[4.098900000005962],0,3,3,267,1,r2b1s8.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,38.881,39.3809,39.3822,42.3796,[0.537992527173913],17,[-0.35109969429347826],[1],[0],[0],[2.997200000017884],0,4,4,217,1,r1b2s8.png,1081
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,42.3805,42.8806,42.8814,45.8814,[-0.4705672554347826],4,[-0.3599269701086957],[1],[0],[0],[2.999799999982116],0,5,5,145,1,r2b1s6.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,45.8821,46.3805,46.3811,49.3806,[-0.5278617527173913],3,[-0.35568529211956523],[1],[0],[0],[2.999300000011921],0,6,6,86,1,r1b1s7.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,49.3811,49.8804,49.8811,53.2638,[0.4096000339673913],16,[-0.3649498980978261],[1],[0],[0],[3.382599999994035],0,7,7,210,1,r1b2s1.png,1081
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,53.264,53.7629,53.7639,55.6804,[0.2712805706521739],14,[-0.3716457201086957],[1],[0],[0],[1.9163999999761643],0,8,8,33,1,r2b2s4.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,55.6806,56.1806,56.1812,59.6641,[-0.6223080842391304],2,[-0.3618800951086957],[1],[0],[0],[3.4827000000178856],0,9,9,244,1,r1b1s5.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,59.6644,60.1643,60.1649,63.798,[0.6890157948369565],19,[-0.3536812160326087],[1],[0],[0],[3.632599999994028],0,10,10,256,1,r1b2s7.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,63.7996,64.2971,64.2982,67.9309,[-0.6330078125],1,[-0.3491975203804348],[1],[0],[0],[3.632499999999993],0,11,11,204,1,r1b1s5.png,1081
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,67.9315,68.4306,68.4313,70.2638,[-0.1703719429347826],8,[-0.34780485733695654],[1],[0],[0],[1.8323000000119265],0,12,12,147,1,r2b1s8.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,70.2641,70.7639,70.7646,72.9809,[-0.6004118546195653],2,[-0.3489639945652174],[1],[0],[0],[2.215999999999994],0,13,13,186,1,r2b1s7.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,72.9814,73.4809,73.4814,75.2306,[-0.5449770720108695],3,[-0.3554517663043478],[1],[0],[0],[1.7490999999940442],0,14,14,189,1,r2b1s10.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,75.2311,75.7304,75.7312,77.8474,[-0.48242612092391307],3,[-0.3526452105978261],[1],[0],[0],[2.115900000005965],0,15,15,27,1,r2b1s8.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,77.8476,78.3469,78.3471,80.2476,[0.6265922214673914],19,[-0.3266686480978261],[1],[0],[0],[1.9003000000119243],0,16,16,137,1,r1b2s8.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,80.2481,80.7465,80.7471,82.3473,[0.7188391644021739],20,[-0.3613366168478261],[1],[0],[0],[1.5999999999999943],0,17,17,172,1,r1b2s3.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,82.3477,82.8468,82.8472,84.5308,[-0.6953761888586957],1,[-0.36679262907608695],[1],[0],[0],[1.6832000000178908],0,18,18,124,1,r1b1s5.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,84.5313,85.0305,85.0309,86.3971,[-0.6926248301630434],1,[-0.36452955163043477],[1],[0],[0],[1.3660999999940344],0,19,19,106,1,r2b1s7.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,86.3974,86.8974,86.8983,88.764,[0.7240871263586957],20,[-0.33945737092391304],[1],[0],[0],[1.8654999999999973],0,20,20,112,1,r2b2s3.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,88.7644,89.2641,89.2652,90.6802,[0.6305791440217391],19,[-0.3530443274456522],[1],[0],[0],[1.4148000000119225],0,21,21,153,1,r2b2s4.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,90.6806,91.1798,91.1805,92.8813,[0.6910453464673914],19,[-0.35304008152173916],[1],[0],[0],[1.6999999999999886],0,22,22,199,1,r2b2s10.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,92.882,93.3807,93.3817,96.3302,[0.3215905230978261],14,[-0.36223250679347824],[1],[0],[0],[2.948200000017877],0,23,23,11,1,r1b2s2.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,96.3306,96.8303,96.8307,98.3809,[0.6926970108695653],19,[-0.3578040081521739],[1],[0],[0],[1.5498000000119134],0,24,24,38,1,r2b2s9.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,98.3816,98.8805,98.8811,100.0304,[0.6926970108695653],19,[-0.3578040081521739],[1],[0],[0],[1.1490999999940357],0,25,25,138,1,r1b2s9.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,100.0308,100.5307,100.5316,103.7809,[-0.6826893682065217],1,[-0.35819887907608694],[1],[0],[0],[3.2486999999880766],0,26,26,249,1,r1b1s10.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,103.7812,104.2804,104.2811,106.5329,[0.6972359035326087],19,[-0.3499830163043478],[1],[0],[0],[2.2516999999880767],0,27,27,218,1,r1b2s9.png,1081
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,106.5333,107.0305,107.0311,108.881,[-0.5674932065217392],2,[-0.3521654211956522],[1],[0],[0],[1.849599999994041],0,28,28,122,1,r1b1s3.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,108.8819,109.3806,109.3814,111.0809,[0.6291737432065218],19,[-0.3747664741847826],[1],[0],[0],[1.6990999999940328],0,29,29,136,1,r1b2s7.png,316
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,111.0819,111.5806,111.5812,113.1807,[-0.674222995923913],1,[-0.35177479619565216],[1],[0],[0],[1.5992000000178734],0,30,30,49,1,r1b1s10.png,92
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,113.1811,113.6805,113.6811,114.6805,[-0.674222995923913],1,[-0.35177479619565216],[1],[0],[0],[0.9993000000119139],0,31,31,104,1,r2b1s5.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,114.681,115.1804,115.1809,116.5804,[0.6992697010869565],19,[-0.3388289741847826],[1],[0],[0],[1.3993999999761542],0,32,32,70,1,r2b2s1.png,92
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,116.5808,117.0807,117.0815,118.6639,[0.6894616168478261],19,[-0.3324515964673913],[1],[0],[0],[1.5822999999821405],0,33,33,196,1,r2b2s7.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,118.6642,119.1638,119.1647,120.614,[-0.6834196671195653],1,[-0.35018257472826086],[1],[0],[0],[1.449099999994047],0,34,34,7,1,r1b1s8.png,50
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,120.6144,121.1138,121.1146,122.4807,[0.6991380774456522],19,[-0.3641516644021739],[1],[0],[0],[1.3659000000059507],0,35,35,52,1,r1b2s3.png,92
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,122.481,122.9805,122.9811,126.3303,[0.5583517323369566],18,[-0.35794412364130435],[1],[0],[0],[3.349199999988059],0,36,36,250,1,r1b2s1.png,2000
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,126.3306,126.8304,126.8311,129.1971,[-0.6333856997282609],1,[-0.3479110054347826],[1],[0],[0],[2.3659000000059507],0,37,37,200,1,r1b1s1.png,1081
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,129.1974,129.6972,129.6978,131.3973,[-0.6917119565217391],1,[-0.35959154211956523],[1],[0],[0],[1.699300000011931],0,38,38,167,1,r1b1s8.png,585
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,131.3976,131.897,131.8974,132.9974,[-0.6917119565217391],1,[-0.35959154211956523],[1],[0],[0],[1.0998999999761452],0,39,39,81,1,r1b1s2.png,171
,,,,,738167,001,M,39,2026-05-10_15h55.06.133,RUN_BETA,2026.1.0,MacIntel,59.52380952,132.9979,133.4971,133.4978,134.3803,[-0.6917119565217391],1,[-0.35959154211956523],[1],[0],[0],[0.8824000000059584],0,40,40,6,1,r1b1s7.png,50
