instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
4.5698,6.2298,space,1.6293,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,,,,,,,,,,,,,,,,,,
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,6.2474,6.7292,6.7309,11.2794,[-0.19814814814814816],7,[-0.3416666666666667],[1],[0],[0],[4.5479000000003715],0,0,0,196,1,r2b2s7.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,11.2803,11.7783,11.7791,14.6832,[0.6305555555555555],19,[-0.3425925925925926],[1],[0],[0],[2.9039000000003696],0,1,1,7,1,r1b1s8.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,14.6837,15.1781,15.1795,18.0113,[0.5083333333333333],17,[-0.3574074074074074],[1],[0],[0],[2.8314000000003716],0,2,2,4,1,r1b1s5.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,18.0123,18.511,18.5124,20.5503,[0.24074074074074073],13,[-0.3638888888888889],[1],[0],[0],[2.037599999999628],0,3,3,149,1,r2b1s10.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,20.5507,21.0501,21.0505,23.8328,[-0.30648148148148147],6,[-0.35185185185185186],[1],[0],[0],[2.782199999999257],0,4,4,203,1,r1b1s4.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,23.8332,24.3268,24.3279,26.3655,[-0.13333333333333333],8,[-0.35462962962962963],[1],[0],[0],[2.0374000000003676],0,5,5,131,1,r1b2s2.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,26.366,26.8602,26.8617,28.8432,[-0.24259259259259258],7,[-0.34814814814814815],[1],[0],[0],[1.9810000000000016],0,6,6,183,1,r2b1s4.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,28.844,29.3429,29.3442,35.648,[-0.1287037037037037],8,[-0.3435185185185185],[1],[0],[0],[6.303700000001122],0,7,7,83,1,r1b1s4.png,171
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,35.6485,36.1425,36.1439,37.8924,[-0.06944444444444445],9,[-0.3398148148148148],[1],[0],[0],[1.7480999999996314],0,8,8,54,1,r1b2s5.png,92
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,37.8932,38.3923,38.3939,40.6924,[0.4203703703703704],16,[-0.36666666666666664],[1],[0],[0],[2.2980999999996286],0,9,9,216,1,r1b2s7.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,40.6937,41.1913,41.1928,42.9788,[0.2972222222222222],14,[-0.3490740740740741],[1],[0],[0],[1.785899999998513],0,10,10,59,1,r1b2s10.png,92
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,42.9791,43.4747,43.4765,45.7794,[-0.18425925925925926],8,[-0.32037037037037036],[1],[0],[0],[2.302800000000744],0,11,11,193,1,r2b2s4.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,45.7799,46.2748,46.2763,47.7129,[0.5685185185185185],18,[-0.32592592592592595],[1],[0],[0],[1.4365000000000023],0,12,12,107,1,r2b1s8.png,171
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,47.7132,48.2075,48.2087,52.1572,[0.16666666666666666],12,[-0.35648148148148145],[1],[0],[0],[3.9482000000011226],0,13,13,245,1,r1b1s6.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,52.158,52.6565,52.6575,54.7069,[-0.1814814814814815],8,[-0.3638888888888889],[1],[0],[0],[2.0490000000000066],0,14,14,143,1,r2b1s4.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,54.708,55.2064,55.2077,57.0397,[-0.11851851851851852],8,[-0.3574074074074074],[1],[0],[0],[1.8317000000011205],0,15,15,158,1,r2b2s9.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,57.0406,57.5392,57.5402,60.0616,[0.5842592592592593],18,[-0.35],[1],[0],[0],[2.521200000001116],0,16,16,222,1,r2b1s3.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,60.0621,60.5615,60.5621,62.2897,[-0.019444444444444445],10,[-0.3675925925925926],[1],[0],[0],[1.7273000000007386],0,17,17,12,1,r1b2s3.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,62.2905,62.789,62.7902,65.2944,[0.11574074074074074],12,[-0.35462962962962963],[1],[0],[0],[2.5039999999999907],0,18,18,239,1,r2b2s10.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,65.2949,65.7883,65.7897,68.7104,[-0.18333333333333332],8,[-0.3416666666666667],[1],[0],[0],[2.9206000000014853],0,19,19,231,1,r2b2s2.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,68.7108,69.2101,69.2106,71.1713,[-0.16296296296296298],8,[-0.3472222222222222],[1],[0],[0],[1.9604999999999961],0,20,20,124,1,r1b1s5.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,71.1717,71.671,71.6716,73.9373,[-0.10277777777777777],9,[-0.3398148148148148],[1],[0],[0],[2.2655999999996226],0,21,21,138,1,r1b2s9.png,316
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,73.938,74.4374,74.4379,75.9706,[-0.1537037037037037],8,[-0.35185185185185186],[1],[0],[0],[1.5325999999996327],0,22,22,56,1,r1b2s7.png,92
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,75.971,76.4703,76.4709,79.987,[-0.4074074074074074],4,[-0.3453703703703704],[1],[0],[0],[3.5160000000000053],0,23,23,241,1,r1b1s2.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,79.9876,80.4867,80.4876,83.5866,[-0.012962962962962963],10,[-0.3537037037037037],[1],[0],[0],[3.098800000000736],0,24,24,279,1,r2b2s10.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,83.5872,84.0862,84.0869,85.7361,[0.33611111111111114],15,[-0.3712962962962963],[1],[0],[0],[1.6490999999996347],0,25,25,17,1,r1b2s8.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,85.7366,86.2358,86.2363,88.8687,[0.016666666666666666],10,[-0.3398148148148148],[1],[0],[0],[2.6323999999984977],0,26,26,5,1,r1b1s6.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,88.869,89.3688,89.3693,92.6521,[-0.18796296296296297],7,[-0.3333333333333333],[1],[0],[0],[3.2825999999996185],0,27,27,21,1,r2b1s2.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,92.6526,93.1517,93.1522,94.418,[-0.10555555555555556],9,[-0.36666666666666664],[1],[0],[0],[1.2658000000007519],0,28,28,30,1,r2b2s1.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,94.4181,94.9181,94.919,96.0346,[-0.2962962962962963],6,[-0.362962962962963],[1],[0],[0],[1.115599999999631],0,29,29,103,1,r2b1s4.png,171
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,96.035,96.5346,96.5351,97.818,[-0.3972222222222222],5,[-0.3472222222222222],[1],[0],[0],[1.282700000001114],0,30,30,0,1,r1b1s1.png,50
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,97.8184,98.3178,98.3183,99.3513,[-0.35],5,[-0.3509259259259259],[1],[0],[0],[1.0326999999992523],0,31,31,63,1,r2b1s4.png,92
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,99.3517,99.8509,99.8514,102.7506,[0.48148148148148145],17,[-0.3768518518518518],[1],[0],[0],[2.8990999999996347],0,32,32,256,1,r1b2s7.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,102.751,103.2502,103.2508,105.4507,[-0.26481481481481484],6,[-0.35185185185185186],[1],[0],[0],[2.199699999999254],0,33,33,223,1,r2b1s4.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,105.4512,105.9501,105.9506,107.0666,[-0.26481481481481484],6,[-0.35185185185185186],[1],[0],[0],[1.1159999999999997],0,34,34,41,1,r1b1s2.png,92
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,107.0669,107.5665,107.5675,111.0498,[0.3527777777777778],15,[-0.3351851851851852],[1],[0],[0],[3.482099999999633],0,35,35,221,1,r2b1s2.png,1081
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,111.0504,111.5494,111.55,114.6325,[-0.0787037037037037],9,[-0.3453703703703704],[1],[0],[0],[3.0824000000003764],0,36,36,266,1,r2b1s7.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,114.6332,115.1325,115.1331,118.7486,[0.38333333333333336],15,[-0.3472222222222222],[1],[0],[0],[3.615300000000744],0,37,37,269,1,r2b1s10.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,118.749,119.2484,119.2492,121.3318,[-0.22962962962962963],7,[-0.34444444444444444],[1],[0],[0],[2.0823000000007426],0,38,38,195,1,r2b2s6.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,121.3324,121.8316,121.8322,127.1808,[-0.3425925925925926],5,[-0.33240740740740743],[1],[0],[0],[5.348500000000001],0,39,39,251,1,r1b2s2.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,127.1813,127.6807,127.6815,185.6901,[-0.23703703703703705],7,[-0.3435185185185185],[1],[0],[0],[58.0085],0,40,40,191,1,r2b2s2.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,185.6906,186.1902,186.1907,188.2734,[0.09166666666666666],11,[-0.3675925925925926],[1],[0],[0],[2.0825000000000102],0,41,41,179,1,r1b2s10.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,188.2738,188.773,188.7733,194.0564,[0.39814814814814814],15,[-0.35462962962962963],[1],[0],[0],[5.282899999998506],0,42,42,276,1,r2b2s7.png,2000
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,194.057,194.5558,194.5564,199.5719,[0.47314814814814815],16,[-0.32685185185185184],[1],[0],[0],[5.015299999998888],0,43,43,186,1,r2b1s7.png,585
,,,,,877955,001,f,18,2026-05-10_00h22.38.603,RUN_BETA,2026.1.0,Win32,60.24096386,199.5722,200.072,200.0727,206.988,[-0.12129629629629629],8,[-0.3398148148148148],[1],[0],[0],[6.915100000001502],0,44,44,210,1,r1b2s1.png,1081
