instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
9.031,31.644,space,22.58,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,31.666,32.144,32.145,36.845,[-0.62625],1,[-0.33875],[1],[0],[0],[4.698999999999998],0,0,0,241,1,r1b1s2.png,2000
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,36.845,37.343,37.343,39.96,[-0.62375],2,[-0.33875],[1],[0],[0],[2.6169999999999973],0,1,1,32,1,r2b2s3.png,50
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,39.961,40.46,40.46,44.194,[0.63],19,[-0.34125],[1],[0],[0],[3.733000000000004],0,2,2,75,1,r2b2s6.png,92
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,44.194,44.693,44.693,48.793,[-0.60125],2,[-0.3525],[1],[0],[0],[4.100000000000001],0,3,3,246,1,r1b1s7.png,2000
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,48.794,49.293,49.293,54.177,[-0.595],2,[-0.35625],[1],[0],[0],[4.8840000000000074],0,4,4,35,1,r2b2s6.png,50
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,54.178,54.676,54.677,56.56,[0.0925],11,[-0.35125],[1],[0],[0],[1.8829999999999956],0,5,5,93,1,r1b2s4.png,171
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,56.56,57.06,57.06,61.61,[-0.33875],5,[-0.34875],[1],[0],[0],[4.548999999999992],0,6,6,260,1,r2b1s1.png,2000
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,61.611,62.109,62.11,64.844,[-0.49125],3,[-0.355],[1],[0],[0],[2.733000000000004],0,7,7,165,1,r1b1s6.png,585
,,,,,463483,001,F,20,2026-05-09_22h57.37.233,RUN_BETA,2026.1.0,MacIntel,58.82352941,64.844,65.343,65.343,70.46,[0.695],19,[-0.35375],[1],[0],[0],[5.117000000000004],0,8,8,194,1,r2b2s5.png,585
