instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
3.6839,24.9511,space,21.2125,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,,,,,,,,,,,,,,,,,,
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,24.9775,25.4233,25.4249,27.7226,[-0.3111110969826027],6,[-0.35740739327889903],[1],[0],[0],[2.2971000000005546],0,0,0,82,1,r1b1s3.png,171
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,27.723,28.2168,28.2176,29.9828,[-0.18888890301739727],7,[-0.3620370229085286],[1],[0],[0],[1.7647999999998092],0,1,1,94,1,r1b2s5.png,171
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,29.9838,30.4717,30.4727,33.2861,[0.030555583812572337],10,[-0.34907411645959924],[1],[0],[0],[2.813099999999629],0,2,2,31,1,r2b2s2.png,50
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,33.2867,33.772,33.773,36.1259,[-0.5666666737309208],2,[-0.35648148148148145],[1],[0],[0],[2.352599999999626],0,3,3,166,1,r1b1s7.png,585
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,36.1264,36.6213,36.6223,40.3098,[-0.5416666666666666],3,[-0.3611111111111111],[1],[0],[0],[3.6872999999998157],0,4,4,244,1,r1b1s5.png,2000
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,40.3103,40.7768,40.778,42.3485,[-0.3249999858714916],6,[-0.3537037460892289],[1],[0],[0],[1.5702999999998113],0,5,5,79,1,r2b2s10.png,92
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,42.3488,42.8569,42.8577,44.4392,[-0.45092593299018013],4,[-0.3546296578866464],[1],[0],[0],[1.5810999999996227],0,6,6,70,1,r2b2s1.png,92
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,44.44,44.9164,44.9172,46.3748,[-0.7092592627913864],1,[-0.3527777636492694],[1],[0],[0],[1.4572999999998117],0,7,7,168,1,r1b1s9.png,585
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,46.3755,46.8713,46.8723,48.3554,[-0.5370370370370371],3,[-0.35185185185185186],[1],[0],[0],[1.482999999999997],0,8,8,92,1,r1b2s3.png,171
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,48.3558,48.8685,48.8691,51.3456,[-0.676851855383979],1,[-0.3611111111111111],[1],[0],[0],[2.47629999999981],0,9,9,218,1,r1b2s9.png,1081
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,51.3463,51.8161,51.817,53.3368,[-0.6444444479765715],1,[-0.35555556968406393],[1],[0],[0],[1.5195999999996204],0,10,10,93,1,r1b2s4.png,171
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,53.3374,53.8032,53.8038,55.8895,[-0.6055555520234285],2,[-0.3620370229085286],[1],[0],[0],[2.085599999999637],0,11,11,140,1,r2b1s1.png,316
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,55.8899,56.3911,56.392,58.7857,[-0.533333319204825],3,[-0.36296300534848813],[1],[0],[0],[2.3932999999998117],0,12,12,179,1,r1b2s10.png,585
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,58.7863,59.2557,59.2565,62.3485,[-0.6907407442728678],1,[-0.35185185185185186],[1],[0],[0],[3.0917999999998074],0,13,13,268,1,r2b1s9.png,2000
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,62.3489,62.8423,62.8428,64.3134,[-0.7240740634776928],1,[-0.3537037460892289],[1],[0],[0],[1.469900000000365],0,14,14,198,1,r2b2s9.png,585
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,64.3142,64.7864,64.7873,67.0443,[-0.6194444409123173],2,[-0.3601851993136936],[1],[0],[0],[2.25670000000018],0,15,15,205,1,r1b1s6.png,1081
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,67.0449,67.513,67.5139,70.8722,[-0.5398148077505606],3,[-0.3462963104248047],[1],[0],[0],[3.3579000000003703],0,16,16,251,1,r1b2s2.png,2000
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,70.8726,71.3408,71.3418,72.9836,[-0.6166666701987937],2,[-0.34351850439001014],[1],[0],[0],[1.6412999999998164],0,17,17,36,1,r2b2s7.png,50
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,72.9842,73.4582,73.4587,75.1933,[-0.5583333262690792],2,[-0.3537037460892289],[1],[0],[0],[1.7342999999998199],0,18,18,156,1,r2b2s7.png,316
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,75.1937,75.6606,75.6614,77.0115,[-0.6435185185185185],1,[-0.33981485720034],[1],[0],[0],[1.349800000000755],0,19,19,68,1,r2b1s9.png,92
,,,,,903268,001,F,18,2026-05-11_13h08.43.902,RUN_BETA,2026.1.0,Win32,31.94888179,77.0121,77.4803,77.4813,78.9531,[-0.6888888853567617],1,[-0.3388888747603805],[1],[0],[0],[1.4715999999996399],0,20,20,48,1,r1b1s9.png,92
