instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
44.062,76.376,space,32.261,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,,,,,,,,,,,,,,,,,,
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,76.396,76.876,76.877,80.227,[0.03803409398699892],11,[-0.36726791034669554],[1],[0],[0],[3.3489999999999895],0,0,0,3,1,r1b1s4.png,50
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,80.227,80.726,80.726,84.442,[-0.6182159060130011],2,[-0.35401713163596965],[1],[0],[0],[3.716000000000008],0,1,1,208,1,r1b1s9.png,1081
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,84.442,84.942,84.942,88.243,[-0.26865520043336943],6,[-0.3247985509209101],[1],[0],[0],[3.301000000000002],0,2,2,29,1,r2b1s10.png,50
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,88.243,88.742,88.742,90.959,[-0.17405031148429037],8,[-0.35019129198266524],[1],[0],[0],[2.2169999999999987],0,3,3,199,1,r2b2s10.png,585
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,90.96,91.459,91.459,95.642,[0.34876083423618637],15,[-0.33164189463705307],[1],[0],[0],[4.182999999999993],0,4,4,50,1,r1b2s1.png,92
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,95.643,96.141,96.142,99.159,[-0.248133633531961],7,[-0.3608604753521127],[1],[0],[0],[3.01700000000001],0,5,5,69,1,r2b1s10.png,92
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,99.16,99.659,99.659,102.643,[0.3500262391657638],15,[-0.3584904861863489],[1],[0],[0],[2.98299999999999],0,6,6,167,1,r1b1s8.png,585
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,102.643,103.142,103.142,105.942,[0.47221187703141926],16,[-0.3563067104550379],[1],[0],[0],[2.8000000000000114],0,7,7,224,1,r2b1s5.png,1081
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,105.943,106.441,106.442,111.809,[-0.20198232665222102],7,[-0.3475970002708559],[1],[0],[0],[5.367000000000004],0,8,8,103,1,r2b1s4.png,171
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,111.81,112.309,112.309,116.426,[-0.6208990723185266],2,[-0.3422179712892741],[1],[0],[0],[4.11699999999999],0,9,9,278,1,r2b2s9.png,2000
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,116.426,116.925,116.926,123.309,[-0.4784542592091008],3,[-0.35583271262188515],[1],[0],[0],[6.382999999999996],0,10,10,266,1,r2b1s7.png,2000
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,123.309,123.809,123.809,126.243,[-0.25862506771397614],6,[-0.34577718716143013],[1],[0],[0],[2.4329999999999927],0,11,11,184,1,r2b1s5.png,585
,,,,,596633,001,F,20,2026-05-09_18h45.58.579,RUN_BETA,2026.1.0,MacIntel,62.5,126.243,126.742,126.743,129.376,[-0.1705672738353196],8,[-0.35525291170097506],[1],[0],[0],[2.632000000000005],0,12,12,174,1,r1b2s5.png,585
