instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
22.0866,31.7624,space,9.6402,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,,,,,,,,,,,,,,,,,,
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,31.7872,32.2622,32.2631,38.9126,[0.03611111111111111],10,[-0.3435185185185185],[1],[0],[0],[6.649200000000185],0,0,0,104,1,r2b1s5.png,171
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,38.9135,39.412,39.4133,47.2959,[-0.024074074074074074],10,[-0.3296296296296296],[1],[0],[0],[7.882399999999912],0,1,1,237,1,r2b2s8.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,47.2964,47.7953,47.7962,55.0793,[0.044444444444444446],11,[-0.325],[1],[0],[0],[7.282899999999906],0,2,2,241,1,r1b1s2.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,55.0799,55.5785,55.5795,59.2455,[0.05],11,[-0.3277777777777778],[1],[0],[0],[3.6657999999998196],0,3,3,215,1,r1b2s6.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,59.2458,59.7453,59.7457,62.047,[0.049074074074074076],11,[-0.32592592592592595],[1],[0],[0],[2.3012000000001933],0,4,4,38,1,r2b2s9.png,50
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,62.0472,62.5487,62.5491,68.466,[0.04537037037037037],11,[-0.325],[1],[0],[0],[5.916800000000279],0,5,5,101,1,r2b1s2.png,171
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,68.4665,68.962,68.963,74.7791,[0.049074074074074076],11,[-0.32592592592592595],[1],[0],[0],[5.815799999999811],0,6,6,255,1,r1b2s6.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,74.7794,75.2784,75.2789,81.429,[0.09259259259259259],11,[-0.3425925925925926],[1],[0],[0],[6.1496999999997115],0,7,7,232,1,r2b2s3.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,81.4295,81.9285,81.9295,86.1138,[0.13148148148148148],12,[-0.3490740740740741],[1],[0],[0],[4.184099999999631],0,8,8,256,1,r1b2s7.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,86.1141,86.6143,86.6147,91.0814,[0.11574074074074074],12,[-0.3509259259259259],[1],[0],[0],[4.466499999999996],0,9,9,114,1,r2b2s5.png,171
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,91.0817,91.5798,91.5802,93.6466,[0.5574074074074075],18,[-0.34629629629629627],[1],[0],[0],[2.0663000000002825],0,10,10,137,1,r1b2s8.png,316
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,93.647,94.1483,94.1488,96.6309,[0.6388888888888888],19,[-0.3453703703703704],[1],[0],[0],[2.482100000000088],0,11,11,206,1,r1b1s7.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,96.6311,97.1284,97.1288,98.812,[0.6388888888888888],19,[-0.3453703703703704],[1],[0],[0],[1.6831000000000955],0,12,12,166,1,r1b1s7.png,585
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,98.8123,99.3128,99.3131,100.5495,[0.37962962962962965],15,[-0.3648148148148148],[1],[0],[0],[1.2363000000002842],0,13,13,95,1,r1b2s6.png,171
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,100.5497,101.0465,101.0468,102.58,[0.36203703703703705],15,[-0.3638888888888889],[1],[0],[0],[1.5330000000000013],0,14,14,14,1,r1b2s5.png,50
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,102.5803,103.0783,103.0788,105.9329,[-0.2861111111111111],6,[-0.3537037037037037],[1],[0],[0],[2.854100000000088],0,15,15,211,1,r1b2s2.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,105.9332,106.4284,106.4293,107.9952,[-0.14537037037037037],8,[-0.3472222222222222],[1],[0],[0],[1.5657999999998111],0,16,16,66,1,r2b1s7.png,92
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,107.9959,108.4951,108.4958,111.616,[-0.037037037037037035],9,[-0.35555555555555557],[1],[0],[0],[3.1200000000000188],0,17,17,274,1,r2b2s5.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,111.6163,112.1131,112.1135,115.2633,[-0.3277777777777778],6,[-0.35],[1],[0],[0],[3.1496999999997115],0,18,18,275,1,r2b2s6.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,115.2635,115.764,115.7643,118.5953,[-0.2675925925925926],6,[-0.34444444444444444],[1],[0],[0],[2.8308999999999003],0,19,19,273,1,r2b2s4.png,2000
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,118.5956,119.095,119.0958,121.149,[-0.43425925925925923],4,[-0.35],[1],[0],[0],[2.053100000000086],0,20,20,220,1,r2b1s1.png,1081
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,121.1493,121.6449,121.6454,124.5453,[0.575925925925926],18,[-0.3527777777777778],[1],[0],[0],[2.8997999999998285],0,21,21,67,1,r2b1s8.png,92
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,124.5456,125.0464,125.0467,126.7786,[0.5018518518518519],17,[-0.35185185185185186],[1],[0],[0],[1.7317000000001883],0,22,22,109,1,r2b1s10.png,171
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,126.779,127.2831,127.2834,128.3969,[0.2972222222222222],14,[-0.3648148148148148],[1],[0],[0],[1.1133999999998991],0,23,23,30,1,r2b2s1.png,50
,,,,,389817,001,m,19,2026-05-10_20h54.22.792,RUN_BETA,2026.1.0,Win32,60.24096386,128.3972,128.8951,128.8957,130.3132,[0.23148148148148148],13,[-0.36666666666666664],[1],[0],[0],[1.4173999999999296],0,24,24,50,1,r1b2s1.png,92
