instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
405.2959,406.9638,space,1.6107,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,,,,,,,,,,,,,,,,,,
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,407.002,407.4632,407.4652,410.9972,[-0.16574075486924914],8,[-0.3537037460892289],[1],[0],[0],[3.531500000000051],0,0,0,155,1,r2b2s6.png,316
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,410.9979,411.4961,411.4969,413.3305,[0.2555555414270472],13,[-0.34166668079517504],[1],[0],[0],[1.833100000023876],0,1,1,82,1,r1b1s3.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,413.331,413.8303,413.831,416.6164,[0.10000002825701679],11,[-0.34166668079517504],[1],[0],[0],[2.785199999928466],0,2,2,55,1,r1b2s6.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,416.6169,417.117,417.1177,420.6802,[-0.38703702997278283],5,[-0.35185185185185186],[1],[0],[0],[3.5622000000476532],0,3,3,233,1,r2b2s4.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,420.6807,421.1797,421.1807,424.0302,[-0.6898148148148148],1,[-0.34537039862738717],[1],[0],[0],[2.849300000071537],0,4,4,112,1,r2b2s3.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,424.0307,424.5303,424.5312,426.8181,[-0.16481477242928963],8,[-0.3537037460892289],[1],[0],[0],[2.2866000000238387],0,5,5,88,1,r1b1s9.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,426.8186,427.3141,427.315,431.0838,[0.48425928751627606],17,[-0.34166668079517504],[1],[0],[0],[3.7685000000000173],0,6,6,264,1,r2b1s5.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,431.0842,431.583,431.5836,435.0673,[-0.4175925784640842],4,[-0.3175926208496094],[1],[0],[0],[3.483400000095344],0,7,7,21,1,r2b1s2.png,50
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,435.0678,435.5641,435.565,439.4508,[-0.5490740670098199],3,[-0.3462963104248047],[1],[0],[0],[3.8855999999046844],0,8,8,218,1,r1b2s9.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,439.4512,439.9471,439.9478,443.5478,[0.49537037037037035],17,[-0.3324074215359158],[1],[0],[0],[3.5997999999523245],0,9,9,269,1,r2b1s10.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,443.5482,444.047,444.0481,445.8845,[0.2925925784640842],14,[-0.34444448682996964],[1],[0],[0],[1.8361000000238619],0,10,10,115,1,r2b2s6.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,445.8849,446.3804,446.3812,447.5809,[0.023148148148148147],10,[-0.35555556968406393],[1],[0],[0],[1.1994999999999436],0,11,11,43,1,r1b1s4.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,447.5814,448.0811,448.082,449.584,[0.24444445857295283],13,[-0.35925928751627606],[1],[0],[0],[1.5017999999523113],0,12,12,187,1,r2b1s8.png,585
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,449.5844,450.0805,450.0814,452.3309,[-0.3092592380664967],6,[-0.3583333757188585],[1],[0],[0],[2.2492999999523136],0,13,13,213,1,r1b2s4.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,452.3314,452.8314,452.832,456.0521,[-0.23055556968406396],7,[-0.3472222222222222],[1],[0],[0],[3.2198999999761213],0,14,14,204,1,r1b1s5.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,456.0526,456.5476,456.5483,458.4681,[0.0018518942373770256],10,[-0.3546296578866464],[1],[0],[0],[1.919499999999971],0,15,15,49,1,r1b1s10.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,458.4684,458.9646,458.9654,462.3838,[0.2620370652940538],14,[-0.36388891714590565],[1],[0],[0],[3.418199999928504],0,16,16,279,1,r2b2s10.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,462.3842,462.8815,462.8825,464.6845,[0.3324074921784578],15,[-0.36574074074074076],[1],[0],[0],[1.8017999999522658],0,17,17,117,1,r2b2s8.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,464.685,465.1808,465.1816,467.5516,[0.06296299121997974],11,[-0.34537039862738717],[1],[0],[0],[2.369700000047658],0,18,18,236,1,r2b2s7.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,467.5519,468.048,468.0486,469.2182,[-0.08981478655779804],9,[-0.35092594005443434],[1],[0],[0],[1.1694000000953793],0,19,19,57,1,r1b2s8.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,469.2186,469.7145,469.7154,472.065,[-0.17500001412850838],8,[-0.3268518801088686],[1],[0],[0],[2.3493999999761854],0,20,20,156,1,r2b2s7.png,316
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,472.0657,472.5643,472.5651,473.9685,[0.1388888888888889],12,[-0.33981485720034],[1],[0],[0],[1.4032000000477183],0,21,21,107,1,r2b1s8.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,473.969,474.4643,474.465,475.9014,[0.3092593440303096],14,[-0.3324074215359158],[1],[0],[0],[1.4361999999284762],0,22,22,149,1,r2b1s10.png,316
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,475.9019,476.3982,476.3991,479.3655,[-0.24814810576262297],7,[-0.3425925925925926],[1],[0],[0],[2.9662000000477065],0,23,23,256,1,r1b2s7.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,479.3661,479.8653,479.8663,484.2021,[0.6314814532244647],19,[-0.3583333757188585],[1],[0],[0],[4.335700000047666],0,24,24,247,1,r1b1s8.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,484.2024,484.698,484.699,487.8656,[-0.002777735392252604],10,[-0.34351850439001014],[1],[0],[0],[3.166499999999985],0,25,25,275,1,r2b2s6.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,487.8673,488.3658,488.3665,489.6984,[-0.24907408820258248],7,[-0.35925928751627606],[1],[0],[0],[1.3316999999284462],0,26,26,110,1,r2b2s1.png,171
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,489.699,490.1985,490.1992,492.7019,[-0.3101851851851852],6,[-0.3407407689977575],[1],[0],[0],[2.502499999999941],0,27,27,12,1,r1b2s3.png,50
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,492.7024,493.1982,493.1991,494.3686,[-0.39074074780499496],5,[-0.34351850439001014],[1],[0],[0],[1.169200000047681],0,28,28,0,1,r1b1s1.png,50
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,494.3691,494.8654,494.866,498.169,[-0.4287036966394495],4,[-0.3259259683114511],[1],[0],[0],[3.302799999952299],0,29,29,240,1,r1b1s1.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,498.1695,498.6681,498.6687,501.182,[-0.42685183772334345],4,[-0.33703705116554544],[1],[0],[0],[2.5132000000476182],0,30,30,79,1,r2b2s10.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,501.1824,501.6818,501.6829,505.6491,[0.3120370087800203],14,[-0.3740740882025825],[1],[0],[0],[3.966000000000008],0,31,31,273,1,r2b2s4.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,505.6495,506.1487,506.1496,508.1988,[-0.4166666666666667],4,[-0.34351850439001014],[1],[0],[0],[2.048999999999978],0,32,32,238,1,r2b2s9.png,1081
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,508.1992,508.699,508.6999,510.4321,[0.020370412755895545],10,[-0.3601851993136936],[1],[0],[0],[1.7318999999761218],0,33,33,53,1,r1b2s4.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,510.4324,510.9322,510.9328,512.5996,[-0.2787036895751953],6,[-0.3259259683114511],[1],[0],[0],[1.6663999999761927],0,34,34,78,1,r2b2s9.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,512.6003,513.0989,513.0998,514.4825,[-0.2629629770914714],6,[-0.320370356241862],[1],[0],[0],[1.3823999999762009],0,35,35,73,1,r2b2s4.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,514.4832,514.9824,514.9832,517.886,[-0.44074072661223235],4,[-0.3620370229085286],[1],[0],[0],[2.9023999999761827],0,36,36,270,1,r2b2s1.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,517.8864,518.3823,518.3829,520.5024,[0.3175926208496094],14,[-0.3407407689977575],[1],[0],[0],[2.119299999952318],0,37,37,176,1,r1b2s7.png,585
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,520.5028,521.0026,521.0034,522.652,[0.5092592592592593],17,[-0.32962961550112124],[1],[0],[0],[1.6485000000000127],0,38,38,162,1,r1b1s3.png,585
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,522.6524,523.1497,523.1511,526.3521,[0.464814786557798],16,[-0.34907411645959924],[1],[0],[0],[3.2008000000714674],0,39,39,242,1,r1b1s3.png,2000
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,526.3525,526.8495,526.85,528.4663,[0.1287037178322121],12,[-0.3666666525381583],[1],[0],[0],[1.6159999999999854],0,40,40,69,1,r2b1s10.png,92
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,528.4667,528.9657,528.9665,531.1527,[0.34444441618742766],15,[-0.35000002825701676],[1],[0],[0],[2.1860000000000355],0,41,41,157,1,r2b2s8.png,316
,,,,,612266,001,m,18,2026-05-09_16h46.58.098,RUN_BETA,2026.1.0,Win32,59.88023952,531.1531,531.6523,531.6529,532.954,[0.3694445292154948],15,[-0.34351850439001014],[1],[0],[0],[1.3010000000000446],0,42,42,23,1,r2b1s4.png,50
