instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,"please enter F(female), M(male), O(other)",please enter your age,date,expName,psychopyVersion,OS,frameRate,fixation.started,fixation.stopped,trial.started,trial.stopped,mouse.x,Selected Match,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,NAME,DURATION
70.4015,97.9737,space,27.5369,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,,,,,,,,,,,,,,,,,,
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,98.0078,98.4726,98.4744,106.0697,[0.27238202978063514],14,[-0.3506415331805194],[1],[0],[0],[7.594700000000003],0,0,0,262,1,r2b1s3.png,2000
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,106.0703,106.5687,106.5693,115.1996,[-0.3163023701420537],6,[-0.3597635339807581],[1],[0],[0],[8.62990000000002],0,1,1,55,1,r1b2s6.png,92
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,115.2,115.6994,115.7004,118.9821,[-0.3163023701420537],6,[-0.3597635339807581],[1],[0],[0],[3.2811999999999983],0,2,2,111,1,r2b2s2.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,118.983,119.4816,119.4827,122.2145,[0.5312882882577402],17,[-0.3627187234384042],[1],[0],[0],[2.7312000000000296],0,3,3,122,1,r1b1s3.png,316
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,122.2153,122.7141,122.7153,128.0293,[-0.20120076779966],7,[-0.345439698961046],[1],[0],[0],[5.313199999999995],0,4,4,83,1,r1b1s4.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,128.0303,128.5286,128.5298,132.644,[0.39954729433412906],15,[-0.34655514469853155],[1],[0],[0],[4.113600000000048],0,5,5,156,1,r2b2s7.png,316
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,132.6449,133.1435,133.1445,137.7425,[0.3378978305392795],15,[-0.3459512922498915],[1],[0],[0],[4.597000000000008],0,6,6,264,1,r2b1s5.png,2000
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,137.7433,138.2421,138.2431,144.3726,[-0.038367094816984956],9,[-0.35164840133101855],[1],[0],[0],[6.1293999999999755],0,7,7,228,1,r2b1s9.png,1081
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,144.3729,144.8731,144.8741,146.8227,[-0.6101565537629304],2,[-0.34280141194661456],[1],[0],[0],[1.9480000000000075],0,8,8,81,1,r1b1s2.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,146.8234,147.3222,147.323,150.3049,[0.46346636171694156],16,[-0.34971978929307723],[1],[0],[0],[2.981500000000011],0,9,9,174,1,r1b2s5.png,585
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,150.3056,150.8044,150.8053,152.6538,[0.5556071246111834],18,[-0.3573724252206308],[1],[0],[0],[1.8479999999999848],0,10,10,97,1,r1b2s8.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,152.6548,153.1537,153.1549,157.1192,[0.5292407848216869],17,[-0.3541391160753038],[1],[0],[0],[3.9638999999999385],0,11,11,242,1,r1b1s3.png,2000
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,157.1199,157.6186,157.6196,159.6514,[-0.4017621499520761],5,[-0.3287342212818287],[1],[0],[0],[2.0313999999999623],0,12,12,113,1,r2b2s4.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,159.6521,160.1509,160.152,164.35,[0.17728586550112124],12,[-0.35442352294921875],[1],[0],[0],[4.197600000000051],0,13,13,268,1,r2b1s9.png,2000
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,164.3508,164.8498,164.8509,166.8657,[-0.48252589614303026],3,[-0.34695597048159],[1],[0],[0],[2.014499999999998],0,14,14,101,1,r2b1s2.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,166.8666,167.3652,167.3659,168.6982,[-0.48903207425717954],3,[-0.3474564022488064],[1],[0],[0],[1.331899999999962],0,15,15,103,1,r2b1s4.png,171
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,168.6988,169.1981,169.199,172.0307,[0.33498862937644674],15,[-0.35832624082212094],[1],[0],[0],[2.831200000000024],0,16,16,188,1,r2b1s9.png,585
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,172.0314,172.5306,172.5315,174.4464,[0.63812580815068],19,[-0.34955603988082323],[1],[0],[0],[1.9145000000000039],0,17,17,127,1,r1b1s8.png,316
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,174.4472,174.9462,174.9471,177.3451,[-0.541211481447573],3,[-0.3586238578513817],[1],[0],[0],[2.3975999999999544],0,18,18,43,1,r1b1s4.png,92
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,177.346,177.8451,177.8459,179.9448,[-0.4635022481282552],4,[-0.3543278729474103],[1],[0],[0],[2.09820000000002],0,19,19,51,1,r1b2s2.png,92
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,179.9457,180.4444,180.4454,184.0935,[0.5316244054723669],17,[-0.3473899982593678],[1],[0],[0],[3.647599999999983],0,20,20,276,1,r2b2s7.png,2000
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,184.0943,184.593,184.5939,186.6924,[-0.12361152083785445],[],[-0.25791309497974535],[1],[0],[0],[2.0979999999999848],0,21,21,195,1,r2b2s6.png,585
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,186.6931,187.1914,187.1919,190.8572,[-0.06476402282714844],9,[-0.3474312535038701],[1],[0],[0],[3.6650000000000205],0,22,22,184,1,r2b1s5.png,585
,,,,,026711,001,M,18,2026-05-03_02h05.50.119,RUN_BETA,2026.1.0,Linux x86_64,60.24096386,190.8577,191.3573,191.3583,195.7225,[0.04498043766728154],11,[-0.3479024392587167],[1],[0],[0],[4.363900000000029],0,23,23,246,1,r1b1s7.png,2000
